Ürün Adı,Fiyat,Fiyat (Sayısal),Satıcı,Değerlendirme,Ürün Linki
250 G10 i5-1334U 8GB RAM,14.649 TL,14.649,HP,"5.0
(1)",https://www.trendyol.com/hp/250-g10-i5-1334u-8gb-ram-256gb-ssd-15-6-fhd-w11h-uma-siyah-notebook-b2nc9es-p-828070532?boutiqueId=61&merchantId=951897
Galaxy Tab A9 64 Gb,200 TL Kupon,200.0,Samsung,"4.6
(2196)",https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-turkiye-garantili-p-767487787?boutiqueId=681310&merchantId=968
Ideapad Slim3 Intel,8.099 TL,8.099,LENOVO,"4.2
(66)",https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765?boutiqueId=61&merchantId=1103474
"11"" iPad Wi-Fi 128GB -",150 TL Kupon,150.0,Apple,"3.4
(10)",https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-pembe-p-904312421?boutiqueId=681310&merchantId=968
Tab M9 MediaTek Helio,3.849 TL,3.849,LENOVO,"4.7
(2237)",https://www.trendyol.com/lenovo/tab-m9-mediatek-helio-g80-4gb-64gb-9-hd-tablet-kilif-ekran-koruyucu-zac30155tr-p-736120816?boutiqueId=61&merchantId=413566
Pad X9 4gb 128gb Wifi,5.199 TL,5.199,Honor,"4.7
(1577)",https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=107638
Galaxy Tab A9 64 GB,200 TL Kupon,200.0,Samsung,"4.6
(903)",https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-gumus-tablet-samsung-turkiye-garantili-p-767487785?boutiqueId=681310&merchantId=968
"11"" iPad Wi-Fi 128GB -",150 TL Kupon,150.0,Apple,"4.5
(67)",https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-gumus-p-904298041?boutiqueId=681310&merchantId=968
Tab M11 2.0Ghz 8Gb,7.199 TL,7.199,LENOVO,"4.5
(227)",https://www.trendyol.com/lenovo/tab-m11-2-0ghz-8gb-128gb-11inch-fullhd-android-tablet-p-869513650?boutiqueId=61&merchantId=588741
IdeaPad 1 Ryzen,11.549 TL,11.549,LENOVO,"4.4
(52)",https://www.trendyol.com/lenovo/ideapad-1-ryzen-5-5500u-8gb-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82r400qdtx-p-860978209?boutiqueId=61&merchantId=1103474
Pad 9 8GB 256GB Wifi,10.699 TL,10.699,Honor,"4.7
(623)",https://www.trendyol.com/honor/pad-9-8gb-256gb-wifi-12-gri-tablet-bluetooth-klavye-p-806165466?boutiqueId=61&merchantId=107638
Aspire3 Intel Core,12.999 TL,12.999,ACER,"3.7
(3)",https://www.trendyol.com/acer/aspire3-intel-core-i5-1235u-8gb-512gb-ssd-15-6-full-hd-ips-windows11-gumus-laptop-nx-k6tey-002-p-867246556?boutiqueId=681310&merchantId=968
Galaxy Tab A9 Wi-fi,4.769 TL,4.769,Samsung,"4.6
(669)",https://www.trendyol.com/samsung/galaxy-tab-a9-wi-fi-sm-x110-8-gb-128-gb-8-7-p-784566844?boutiqueId=681310&merchantId=968
Galaxy Tab A9 Plus,6.950 TL,6.95,Samsung,"4.5
(1097)",https://www.trendyol.com/samsung/galaxy-tab-a9-plus-8gb-128gb-sifir-24-ay-garantili-siyah-p-784575940?boutiqueId=61&merchantId=275331
Aspire Lite Intel Core,10.499 TL,10.499,ACER,"3.8
(5)",https://www.trendyol.com/acer/aspire-lite-intel-core-i3-n300-8gb-512gb-ssd-freedos-14-wuxga-ips-dizustu-bilgisayar-nx-ks9ey-002-p-931169589?boutiqueId=681310&merchantId=968
S12 2GB/32GB 10.1”,2.599 TL,2.599,Vorcom,"4.3
(1097)",https://www.trendyol.com/vorcom/s12-2gb-32gb-10-1-1280-800-hd-ips-ekran-tablet-kilif-ekran-koruyucu-hediyeli-p-652417531?boutiqueId=61&merchantId=519473
Redmi Pad Se 8/256 Gb,7.245 TL,7.245,Xiaomi,"4.7
(1583)",https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-p-770228964?boutiqueId=61&merchantId=588741
Nirvana,200 TL Kupon,200.0,CASPER,"4.2
(689)",https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-p-358003688?boutiqueId=61&merchantId=114258
"11"" iPad Air Wi-Fi","965,41 TL",965.41,Apple,Değerlendirilmemiş,https://www.trendyol.com/apple/11-ipad-air-wi-fi-256gb-mavi-p-904298057?boutiqueId=681310&merchantId=968
LOQ AMD Ryzen 5-7235HS,27.999 TL,27.999,LENOVO,"4.2
(18)",https://www.trendyol.com/lenovo/loq-amd-ryzen-5-7235hs-24gb-512gb-ssd-rtx3050-6gb-dos-15-6-fhd-95w-144hz-gaming-laptop-83jc00dxtr-p-892391467?boutiqueId=681310&merchantId=968
Vivobook 15 Intel® Core™,300 TL Kupon,300.0,ASUS,"4.8
(15)",https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1335u-16gb-ram-512gb-ssd-w11-pro-15-6-fhd-p-856346347?boutiqueId=61&merchantId=153128
Galaxy Tab S9 Fe Plus,75 TL Kupon,75.0,Samsung,"4.6
(538)",https://www.trendyol.com/samsung/galaxy-tab-s9-fe-plus-sm-x610-gri-128-gb-12-4-tablet-p-767487796?boutiqueId=61&merchantId=584710
"11"" iPad Wi-Fi 128GB -",150 TL Kupon,150.0,Apple,"4.6
(42)",https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-mavi-p-904298051?boutiqueId=681310&merchantId=968
Galaxy Tab A9 64 GB,200 TL Kupon,200.0,Samsung,"4.6
(982)",https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-navy-samsung-turkiye-garantili-p-767487788?boutiqueId=681310&merchantId=968
